episode,score,length,total_reward,avg_reward
10,1,171,69.89999999999992,0.40877192982456095
20,0,88,17.700000000000014,0.20113636363636378
30,2,221,104.69999999999968,0.4737556561085958
40,1,171,73.79999999999994,0.43157894736842073
50,1,154,38.400000000000034,0.24935064935064957
60,1,160,92.39999999999984,0.577499999999999
70,3,310,139.49999999999943,0.4499999999999982
80,4,355,182.59999999999908,0.5143661971830961
90,7,554,278.0999999999996,0.5019855595667864
100,35,2421,1125.0999999999985,0.4647253201156541
110,157,10554,5499.700000000561,0.5211010043585902
120,19,1375,743.2000000000155,0.5405090909091022
130,37,2579,1416.8999999999637,0.549398991857295
140,19,1380,737.7000000000133,0.534565217391314
150,1,179,96.89999999999975,0.5413407821229036
160,73,4978,2803.69999999978,0.5632181599035315
170,87,5913,3270.8999999997313,0.553170979198331
180,9,713,400.80000000000393,0.5621318373071584
190,30,2113,1187.7999999999986,0.562139138665404
200,51,3513,1920.2999999998876,0.5466268146882686
210,35,2446,1373.0999999999706,0.5613654946851883
220,171,11512,6407.1000000010245,0.5565583738708325
230,93,6312,3498.5999999997066,0.5542775665398775
240,36,2512,1408.7999999999654,0.5608280254776933
250,36,2513,1399.5999999999667,0.55694389176282
260,0,112,54.3,0.48482142857142857
270,44,3046,1677.899999999924,0.5508535784635338
280,2,246,126.29999999999949,0.5134146341463394
290,169,11379,6196.400000000908,0.544546972493269
300,211,14178,7798.700000001891,0.5500564254480104
310,8,645,337.90000000000174,0.5238759689922508
320,46,3178,1748.9999999999118,0.5503461296412561
330,160,10780,5871.700000000712,0.5446846011132386
340,87,5913,3184.4999999997417,0.5385591070522141
350,31,2176,1159.4999999999993,0.5328584558823526
360,16,1180,630.9000000000108,0.5346610169491617
370,130,8780,4805.90000000011,0.5473690205011514
380,216,14513,7813.000000001934,0.5383449321299478
390,10,779,352.90000000000316,0.45301668806162154
